"X","saison","rank","champion","tot_win","tot_lose","avg_kills","avg_deaths","avg_assists","gold","nb_kill_mobs","max_kills","max_deaths","avg_dmg_dealt","avg_dmg_taken","dk","tk","qk","quintu","winrate","nb_games","kd_rate","role"
176,"6",28,"Karthus",1,2,7,7.3,9.3,14679,204,12,11,181577,33246,4,1,0,0,33,3,2.23287671232877,"Jungle"
177,"6",29,"Draven",2,0,11,10,51,19543,201.5,14,15,208721,35373,3,0,0,0,100,2,6.2,"Bot"
178,"6",30,"Sivir",1,1,7.5,3.5,7,10748,176,11,4,121581,12936,2,0,0,0,50,2,4.14285714285714,"Bot"
179,"6",31,"Blitzcrank",0,2,2.5,6,5.5,8432,48.5,3,6,28166,18557,0,0,0,0,0,2,1.33333333333333,"Support"
180,"6",32,"Ekko",1,0,7,4,3,9094,122,7,4,76406,16267,0,0,0,0,100,1,2.5,"Mid"
181,"6",33,"Soraka",1,0,0,3,12,8726,5,0,3,11868,7843,0,0,0,0,100,1,4,"Support"
182,"6",34,"Ashe",1,0,6,1,6,11030,177,6,1,119330,10283,1,1,0,0,100,1,12,"Bot"
183,"6",35,"Nidalee",0,1,6,7,7,7612,20,6,7,60057,17313,1,0,0,0,0,1,1.85714285714286,"Jungle"
184,"6",36,"Gragas",0,1,1,7,5,7301,111,1,7,59790,21442,0,0,0,0,0,1,0.857142857142857,"Top"
185,"6",37,"Lee Sin",0,1,4,6,11,12061,205,4,6,129904,22309,0,0,0,0,0,1,2.5,"Jungle"
186,"6",38,"Diana",0,1,3,17,11,16576,243,3,17,230915,47069,1,0,0,0,0,1,0.823529411764706,"Jungle"
187,"6",39,"Alistar",0,1,1,6,14,9160,47,1,6,28531,36183,0,0,0,0,0,1,2.5,"Support"
188,"6",40,"Ryze",0,1,8,6,5,15356,268,8,6,269050,30291,0,0,0,0,0,1,2.16666666666667,"Mid"
189,"6",41,"Morgana",0,1,1,5,5,7144,30,1,5,20509,13847,0,0,0,0,0,1,1.2,"Support"
190,"6",42,"Olaf",0,1,3,5,3,7641,133,3,5,68078,18533,0,0,0,0,0,1,1.2,"Jungle"
191,"7",1,"Ziggs",154,96,7.1,4.4,7.1,13210,228,23,13,189079,15663,0,0,0,0,61,250,3.22727272727273,"Mid"
192,"7",2,"Lux",71,56,6.3,4.4,7.5,12268,209.2,15,10,143899,12661,0,0,0,0,55,127,3.13636363636364,"Mid"
193,"7",3,"Ezreal",39,49,7.4,5.1,7,12829,208.9,18,11,144261,17854,0,0,0,0,44,88,2.82352941176471,"Bot"
194,"7",4,"Azir",41,41,6.2,4.8,5.5,11924,205.2,17,14,143072,17578,0,0,0,0,50,82,2.4375,"Mid"
195,"7",5,"Twisted Fate",37,24,7,4.6,7.5,12713,189.5,16,11,136919,18503,0,0,0,0,60,61,3.15217391304348,"Mid"
196,"7",6,"Viktor",22,23,7,4.5,6,12114,199.7,14,9,142086,15024,0,0,0,0,48,45,2.88888888888889,"Mid"
197,"7",7,"Caitlyn",16,20,4.3,4.9,5.4,10677,192.4,13,13,130505,15123,0,0,0,0,44,36,1.97959183673469,"Bot"
198,"7",8,"Yasuo",17,17,6.4,6.4,5.4,11732,198.6,16,12,136426,20435,0,0,0,0,50,34,1.84375,"Mid"
199,"7",9,"Vladimir",21,12,7.7,4.8,5.8,12140,193.6,21,10,134882,28193,0,0,0,0,63,33,2.8125,"Mid"
200,"7",10,"Ekko",13,12,10,5,6,13361,201.9,27,12,154649,26426,0,0,0,0,52,25,3.2,"Mid"
201,"7",11,"Draven",11,11,6,5.7,5.9,12754,198.3,12,13,145556,19618,0,0,0,0,50,22,2.08771929824561,"Bot"
202,"7",12,"Cassiopeia",8,11,6.2,5.5,6.9,12181,203.2,10,9,123470,20519,0,0,0,0,42,19,2.38181818181818,"Mid"
203,"7",13,"Skarner",10,7,5.9,4.3,6.8,11207,131.4,15,9,131805,25426,0,0,0,0,58,17,2.95348837209302,"Jungle"
204,"7",14,"Orianna",8,9,5.2,4.8,8,12547,224.1,12,11,154540,16477,0,0,0,0,47,17,2.75,"Mid"
205,"7",15,"Varus",7,10,3.7,4.6,5.1,10202,184.2,11,10,107380,13631,0,0,0,0,41,17,1.91304347826087,"Bot"
206,"7",16,"Janna",10,6,0.6,2.6,11,7967,13.8,2,8,12393,10362,0,0,0,0,62,16,4.46153846153846,"Support"
207,"7",17,"Veigar",9,5,10,5,5,14439,233.1,16,10,186777,19110,0,0,0,0,64,14,3,"Mid"
208,"7",18,"Twitch",5,4,8.8,7.6,8.9,13139,182.9,21,13,133850,23735,0,0,0,0,55,9,2.32894736842105,"Bot"
209,"7",19,"Kassadin",3,5,6.8,5.1,5,11683,200,19,8,111061,21964,0,0,0,0,37,8,2.31372549019608,"Mid"
210,"7",20,"Kog'Maw",3,3,7.8,6,8,12697,204.8,12,8,130719,20304,0,0,0,0,50,6,2.63333333333333,"Bot"
211,"7",21,"Lissandra",3,3,3.8,4.3,3.2,9180,168.2,5,7,102678,14865,0,0,0,0,50,6,1.62790697674419,"Mid"
212,"7",22,"Corki",3,3,6.5,5.5,5.3,11304,174.7,12,9,118440,15991,0,0,0,0,50,6,2.14545454545455,"Mid"
213,"7",23,"Akali",3,3,8.7,7,5.3,11998,166.3,15,11,119743,29029,0,0,0,0,50,6,2,"Mid"
214,"7",24,"Urgot",1,4,8.8,6.4,6,12597,194,12,9,139764,27364,0,0,0,0,20,5,2.3125,"Top"
215,"7",25,"Gangplank",0,5,5.2,6.2,6.4,12923,228.8,9,11,205799,29200,0,0,0,0,0,5,1.87096774193548,"Top"
216,"7",26,"Jax",1,3,2.3,4,3,8731,171,6,6,91609,14609,0,0,0,0,25,4,1.325,"Top"
217,"7",27,"Brand",1,3,4.8,6,5.3,9319,29.3,8,9,42292,13942,0,0,0,0,25,4,1.68333333333333,"Support"
218,"7",28,"Syndra",2,1,9.7,6.3,9.3,15140,230.3,15,8,187876,23947,0,0,0,0,66,3,3.01587301587302,"Mid"
219,"7",29,"Soraka",2,1,2,6,17,10127,21.7,3,6,22271,14738,0,0,0,0,66,3,3.16666666666667,"Support"
220,"7",30,"Kalista",1,2,8.7,13,8,11527,147.3,10,18,91934,26814,0,0,0,0,33,3,1.28461538461538,"Bot"
221,"7",31,"Jinx",1,2,4.3,6.7,5,9164,145.3,7,8,82204,15093,0,0,0,0,33,3,1.38805970149254,"Bot"
222,"7",32,"Nasus",1,2,3.7,6.3,3.3,11272,203.7,9,8,139481,30983,0,0,0,0,33,3,1.11111111111111,"Top"
223,"7",33,"Jayce",0,3,8,8,6.3,10700,152.7,16,12,106747,25592,0,0,0,0,0,3,1.7875,"Top"
224,"7",34,"Malzahar",1,1,8,7,8.5,15106,250.5,10,8,201391,22919,0,0,0,0,50,2,2.35714285714286,"Mid"
225,"7",35,"Irelia",0,2,6,7,8,11278,197,6,7,112743,24941,0,0,0,0,0,2,2,"Top"
226,"7",36,"Zed",0,2,5.5,7,2,10128,170.5,7,8,87137,18986,0,0,0,0,0,2,1.07142857142857,"Mid"
227,"7",37,"Maître Yi",0,2,5,6.5,1.5,11330,218.5,7,8,142529,21148,0,0,0,0,0,2,1,"Jungle"
228,"7",38,"Gragas",1,0,2,2,5,10636,120,2,2,114576,32852,0,0,0,0,100,1,3.5,"Top"
229,"7",39,"Wukong",1,0,10,5,20,19191,267,10,5,284404,52749,0,0,0,0,100,1,6,"Top"
230,"7",40,"Xayah",1,0,6,6,13,13359,199,6,6,144968,19190,0,0,0,0,100,1,3.16666666666667,"Bot"
231,"7",41,"Zyra",1,0,6,2,13,11483,65,6,2,75887,11409,0,0,0,0,100,1,9.5,"Support"
232,"7",42,"Cho'Gath",1,0,12,3,12,15284,185,12,3,199814,54659,0,0,0,0,100,1,8,"Top"
233,"7",43,"Trundle",1,0,6,8,10,11846,155,6,8,99343,27677,0,0,0,0,100,1,2,"Jungle"
234,"7",44,"Taliyah",1,0,6,2,7,11185,155,6,2,99794,12908,0,0,0,0,100,1,6.5,"Jungle"
235,"7",45,"Ashe",1,0,4,3,10,12364,229,4,3,150239,14839,0,0,0,0,100,1,4.66666666666667,"Bot"
236,"7",46,"Kayle",1,0,4,4,10,12105,224,4,4,147777,17564,0,0,0,0,100,1,3.5,"Top"
237,"7",47,"Pantheon",1,0,11,5,5,12973,173,11,5,118837,20301,0,0,0,0,100,1,3.2,"Support"
238,"7",48,"Annie",0,1,3,6,8,11201,232,3,6,134078,14564,0,0,0,0,0,1,1.83333333333333,"Mid"
239,"7",49,"Blitzcrank",0,1,3,2,3,7389,52,3,2,23981,12811,0,0,0,0,0,1,3,"Support"
240,"7",50,"Hecarim",0,1,2,6,6,8010,104,2,6,78962,25687,0,0,0,0,0,1,1.33333333333333,"Jungle"
241,"7",51,"Vayne",0,1,2,4,1,5161,93,2,4,29839,8149,0,0,0,0,0,1,0.75,"Bot"
242,"7",52,"Tryndamere",0,1,3,9,6,9963,180,3,9,123092,34496,0,0,0,0,0,1,1,"Top"
243,"7",53,"Tahm Kench",0,1,1,8,5,8648,53,1,8,39307,29520,0,0,0,0,0,1,0.75,"Top"
244,"7",54,"Xerath",0,1,7,6,6,9902,168,7,6,101160,12835,0,0,0,0,0,1,2.16666666666667,"Mid"
245,"7",55,"Darius",0,1,3,5,4,11306,239,3,5,128500,27940,0,0,0,0,0,1,1.4,"Top"
246,"7",56,"Garen",0,1,5,8,6,9581,118,5,8,70506,22126,0,0,0,0,0,1,1.375,"Top"
247,"7",57,"Evelynn",0,1,1,9,3,9129,114,1,9,124309,36858,0,0,0,0,0,1,0.444444444444444,"Jungle"
248,"7",58,"Zac",0,1,3,5,3,8037,97,3,5,94836,31527,0,0,0,0,0,1,1.2,"Jungle"
249,"7",59,"Singed",0,1,1,5,2,6833,134,1,5,74063,19689,0,0,0,0,0,1,0.6,"Top"
250,"7",60,"Lucian",0,1,7,4,1,9686,188,7,4,103714,12447,0,0,0,0,0,1,2,"Bot"
251,"8",1,"Ziggs",77,77,6.9,4.2,6.8,12856,226.5,20,10,180599,14544,90,17,3,0,50,154,3.26190476190476,"Mid"
252,"8",2,"Ekko",56,43,7.1,4,5.5,11711,199.9,24,12,135909,22848,71,9,1,0,56,99,3.15,"Mid"
253,"8",3,"Azir",56,41,7,4.3,6.1,12561,226.3,19,10,153467,16227,94,21,3,0,57,97,3.04651162790698,"Mid"
254,"8",4,"Ezreal",20,27,5.8,4.5,7,11808,197.7,17,11,127095,14600,29,6,0,0,42,47,2.84444444444444,"Bot"
255,"8",5,"Vladimir",13,19,5.4,3.6,4.6,10761,200.1,15,10,130516,22357,15,2,0,0,40,32,2.77777777777778,"Mid"
256,"8",6,"Sivir",10,11,6.5,4.2,6.9,12834,239.8,15,9,186025,16806,20,4,1,0,47,21,3.19047619047619,"Bot"
257,"8",7,"Lux",4,10,4.5,4.6,6.4,10703,193.3,7,9,126049,13459,5,0,0,0,28,14,2.3695652173913,"Mid"
258,"8",8,"Vel'Koz",3,3,6.8,3.7,8,12806,238.8,12,9,165325,14586,3,0,0,0,50,6,4,"Mid"
259,"8",9,"Lissandra",2,2,3.8,3,4.3,9230,175,5,7,111401,13208,2,0,0,0,50,4,2.7,"Mid"
260,"8",10,"Kog'Maw",1,1,4.5,6.5,7,11974,209,6,11,130636,16151,1,0,0,0,50,2,1.76923076923077,"Bot"
261,"8",11,"Varus",1,1,4.5,5,8,12558,250.5,7,7,172380,14229,1,0,0,0,50,2,2.5,"Bot"
262,"8",12,"Cassiopeia",0,2,8.5,6,6,11888,169.5,12,6,106329,17728,4,1,0,0,0,2,2.41666666666667,"Mid"
263,"8",13,"Viktor",0,2,2,3.5,3.5,9105,207,3,5,137322,12359,0,0,0,0,0,2,1.57142857142857,"Mid"
264,"8",14,"Janna",0,2,3,5,7.5,7074,17.5,4,8,17189,13414,0,0,0,0,0,2,2.1,"Support"
265,"8",15,"Draven",1,0,15,10,4,18684,250,15,10,198597,24509,3,0,0,0,100,1,1.9,"Bot"
266,"8",16,"Xerath",1,0,8,6,20,16939,295,8,6,211924,19195,0,0,0,0,100,1,4.66666666666667,"Mid"
267,"8",17,"Veigar",1,0,15,6,12,14460,184,15,6,155274,21882,2,0,0,0,100,1,4.5,"Mid"
268,"8",18,"Skarner",0,1,1,5,2,8533,144,1,5,107060,23501,0,0,0,0,0,1,0.6,"Jungle"
269,"8",19,"Ryze",0,1,3,5,2,9809,185,3,5,104667,18364,0,0,0,0,0,1,1,"Mid"
270,"8",20,"Kai'Sa",0,1,1,5,2,6698,147,1,5,47308,9708,0,0,0,0,0,1,0.6,"Bot"
271,"8",21,"Caitlyn",0,1,2,3,1,7746,179,2,3,91546,10347,0,0,0,0,0,1,1,"Bot"
272,"9",1,"Lux",115,94,6,2.7,7.4,11020,184.5,19,11,122822,10908,123,14,0,0,55,209,4.96296296296296,"Mid"
273,"9",2,"Ziggs",53,62,5.9,3.3,6.8,12369,214,16,8,172750,14425,55,6,0,0,46,115,3.84848484848485,"Mid"
274,"9",3,"Ezreal",38,28,7.2,4.5,8.4,12517,180.8,24,9,131729,16089,57,6,1,1,57,66,3.46666666666667,"Bot"
275,"9",4,"Lissandra",21,19,5.7,4.5,8.4,11700,191.6,16,10,136518,16849,30,6,0,0,52,40,3.13333333333333,"Mid"
276,"9",5,"Caitlyn",12,13,6.9,5,6.4,12199,191.4,20,9,150963,16503,17,5,2,0,48,25,2.66,"Bot"
277,"9",6,"Azir",10,10,6.2,3.9,7.3,11944,187.6,21,7,132907,16097,17,1,0,0,50,20,3.46153846153846,"Mid"
278,"9",7,"Nasus",7,4,7.7,5,4.8,12418,174.1,12,10,139108,28462,8,1,0,0,63,11,2.5,"Top"
279,"9",8,"Corki",5,4,5.8,5.1,7.3,10606,170.4,11,11,116770,19309,10,2,0,0,55,9,2.56862745098039,"Mid"
280,"9",9,"Malzahar",6,2,7.8,5.6,12,14961,234.1,17,8,187458,19253,7,0,0,0,75,8,3.53571428571429,"Mid"
281,"9",10,"Xerath",4,3,8.1,4.1,7.3,13615,234.7,14,6,185152,14936,6,2,0,0,57,7,3.75609756097561,"Mid"
282,"9",11,"Sivir",4,3,7.6,4.7,8.7,13616,234.3,12,9,182251,17818,6,0,0,0,57,7,3.46808510638298,"Bot"
283,"9",12,"Neeko",4,2,6.7,6.5,7,13864,234.2,9,13,189894,23929,4,1,0,0,66,6,2.10769230769231,"Mid"
284,"9",13,"Jhin",4,2,10,5,9,14988,210.2,18,8,211624,22109,11,1,0,0,66,6,3.8,"Bot"
285,"9",14,"Cassiopeia",3,3,4.3,5.5,4.2,9269,159.2,13,9,82083,15425,5,1,0,0,50,6,1.54545454545455,"Mid"
286,"9",15,"Ryze",2,3,9.2,5.8,8.4,14576,233.2,17,8,196081,26639,3,0,0,0,40,5,3.03448275862069,"Mid"
287,"9",16,"Zilean",3,1,4.3,3.3,12,11486,182.8,7,5,135916,19728,1,0,0,0,75,4,4.93939393939394,"Support"
288,"9",17,"Tryndamere",3,1,7.3,6.3,6.8,14982,227.8,14,7,222874,37014,3,0,0,0,75,4,2.23809523809524,"Top"
289,"9",18,"Vladimir",1,3,4,5.3,4.8,9956,189.3,8,8,113187,26006,0,0,0,0,25,4,1.66037735849057,"Mid"
290,"9",19,"Skarner",2,1,3,4,12,10535,139.3,6,7,124408,28682,0,0,0,0,66,3,3.75,"Jungle"
291,"9",20,"Singed",2,1,3,5.3,9.7,10266,166,4,7,119194,30250,0,0,0,0,66,3,2.39622641509434,"Top"
292,"9",21,"Karthus",1,1,7.5,3,3,11426,179.5,9,4,114147,14079,0,0,0,0,50,2,3.5,"Jungle"
293,"9",22,"Orianna",1,1,4.5,4.5,6,9159,151.5,7,7,87355,14003,1,0,0,0,50,2,2.33333333333333,"Mid"
294,"9",23,"Mordekaiser",0,2,5,6.5,2,9231,148.5,8,7,103978,25286,1,0,0,0,0,2,1.07692307692308,"Top"
295,"9",24,"Kayn",0,2,4.5,6.5,2.5,8610,122,9,10,105134,28384,1,0,0,0,0,2,1.07692307692308,"Jungle"
296,"9",25,"Draven",0,2,4.5,7.5,3.5,11303,191,7,8,125786,19189,0,0,0,0,0,2,1.06666666666667,"Bot"
297,"9",26,"Ekko",1,0,9,3,9,14806,214,9,3,159586,20295,1,0,0,0,100,1,6,"Mid"
298,"9",27,"Garen",1,0,8,2,8,15188,243,8,2,181617,31563,1,0,0,0,100,1,8,"Top"
299,"9",28,"Kha'Zix",0,1,4,7,3,6897,73,4,7,61627,18598,1,0,0,0,0,1,1,"Jungle"
300,"9",29,"Lee Sin",0,1,5,7,5,8508,98,5,7,80409,23042,0,0,0,0,0,1,1.42857142857143,"Jungle"
301,"9",30,"Akali",0,1,7,7,3,11558,172,7,7,115426,24078,1,0,0,0,0,1,1.42857142857143,"Mid"
302,"9",31,"Viktor",0,1,0,4,4,6640,141,0,4,74629,8467,0,0,0,0,0,1,1,"Mid"
303,"9",32,"Brand",0,1,3,6,6,8043,131,3,6,81424,14432,0,0,0,0,0,1,1.5,"Support"
304,"9",33,"Diana",0,1,5,8,8,11570,198,5,8,139171,21556,1,0,0,0,0,1,1.625,"Jungle"
305,"9",34,"LeBlanc",0,1,6,8,2,9392,146,6,8,81483,16812,0,0,0,0,0,1,1,"Mid"
306,"9",35,"Kennen",0,1,11,7,8,16887,219,11,7,175886,33089,0,0,0,0,0,1,2.71428571428571,"Top"
307,"10",1,"Lux",26,27,6.5,3.4,8,11500,193.2,24,7,130057,11747,35,2,0,0,49,53,4.26470588235294,"Mid"
308,"10",2,"Diana",12,15,6.6,5,5,11433,189.7,13,9,132777,20826,19,3,0,0,44,27,2.32,"Jungle"
309,"10",3,"Séraphine",16,10,6.4,3.4,9,11820,196.8,15,8,133172,11970,16,2,0,0,61,26,4.52941176470588,"Support"
310,"10",4,"Azir",10,12,5.5,3.8,4.1,10555,189.2,17,9,116070,15528,16,2,0,0,45,22,2.52631578947368,"Mid"
311,"10",5,"Ezreal",12,7,7.6,4.1,6.4,11870,186.9,20,10,129029,17298,15,2,1,0,63,19,3.41463414634146,"Bot"
312,"10",6,"Malzahar",9,4,4.9,4.2,6.8,11399,205.6,11,7,144804,13551,4,2,0,0,69,13,2.78571428571429,"Mid"
313,"10",7,"Ziggs",6,7,4.1,4.4,6.2,11883,217.7,9,7,166512,15383,4,0,0,0,46,13,2.34090909090909,"Mid"
314,"10",8,"Karthus",5,7,8.2,4.8,8.3,11825,188.7,20,9,134530,21945,13,0,0,0,41,12,3.4375,"Jungle"
315,"10",9,"Twisted Fate",7,4,5.1,4.7,7.1,11391,176.3,11,11,122395,18691,4,0,0,0,63,11,2.59574468085106,"Mid"
316,"10",10,"Lissandra",3,6,5.6,5,5.1,10371,179.3,15,9,115048,17006,5,1,0,0,33,9,2.14,"Mid"
317,"10",11,"Viktor",4,4,8.9,5.3,7.3,13217,218.4,14,8,166271,16927,11,2,0,0,50,8,3.05660377358491,"Mid"
318,"10",12,"Kennen",2,6,9.3,6.4,8.8,12551,172.1,21,10,118613,23468,12,0,0,0,25,8,2.828125,"Top"
319,"10",13,"Cassiopeia",3,4,4.4,4.3,3.4,9039,166.1,9,7,86205,15728,2,0,0,0,42,7,1.81395348837209,"Mid"
320,"10",14,"Ashe",3,4,7,5.7,11,12627,200.3,12,9,160535,18628,8,1,0,0,42,7,3.15789473684211,"Bot"
321,"10",15,"Varus",1,6,5,4.7,4.4,10317,185.6,14,12,108572,12781,5,0,0,0,14,7,2,"Bot"
322,"10",16,"Orianna",4,2,5,2.8,7.2,10403,188.7,9,5,117955,11733,2,1,0,0,66,6,4.35714285714286,"Mid"
323,"10",17,"Aurelion Sol",4,0,5.3,2.5,12,10931,168.3,9,5,115988,20207,1,0,0,0,100,4,6.92,"Mid"
324,"10",18,"Kai'Sa",3,1,5.8,4.8,9.3,11611,169,7,6,124243,18268,0,0,0,0,75,4,3.14583333333333,"Bot"
325,"10",19,"Kog'Maw",2,2,6.3,6,10,13159,228.8,10,8,156057,23879,4,1,0,0,50,4,2.71666666666667,"Bot"
326,"10",20,"Samira",1,3,6,5.5,5.5,12143,230.3,11,8,149419,20200,4,0,0,0,25,4,2.09090909090909,"Bot"
327,"10",21,"Sylas",1,3,5.5,6,7.5,9453,142.3,14,8,88433,24208,2,1,0,0,25,4,2.16666666666667,"Mid"
328,"10",22,"Yone",1,2,5,8.3,4.3,11546,195,7,10,139886,27435,1,0,0,0,33,3,1.12048192771084,"Mid"
329,"10",23,"Ryze",0,2,2,3,1,7234,158.5,4,4,77438,11247,0,0,0,0,0,2,1,"Mid"
330,"10",24,"Jhin",0,2,4,4,4.5,9823,177,5,5,111862,12790,0,0,0,0,0,2,2.125,"Bot"
331,"10",25,"Jinx",0,2,5,4.5,3,7428,117.5,9,6,60034,10518,1,0,0,0,0,2,1.77777777777778,"Bot"
333,"10",27,"Sivir",0,1,7,6,16,16763,285,7,6,225830,24200,0,0,0,0,0,1,3.83333333333333,"Bot"
334,"10",28,"Zilean",0,1,1,9,11,8236,134,1,9,77300,19593,0,0,0,0,0,1,1.33333333333333,"Support"
335,"10",29,"Ekko",0,1,3,8,11,11926,202,3,8,171440,35705,0,0,0,0,0,1,1.75,"Mid"
336,"10",30,"Ahri",0,1,6,7,6,9672,162,6,7,103859,15888,0,0,0,0,0,1,1.71428571428571,"Mid"
337,"10",31,"Fiddlesticks",0,1,3,7,4,7651,118,3,7,91003,19554,1,0,0,0,0,1,1,"Jungle"
338,"10",32,"Caitlyn",0,1,7,3,10,15149,257,7,3,233589,19132,2,0,0,0,0,1,5.66666666666667,"Bot"
339,"11",1,"Akshan",109,91,10,5,6,12921,173.2,34,14,127830,19631,270,43,16,3,54,200,3.2,"Mid"
340,"11",2,"Lux",23,17,6.7,4.4,7.6,11502,189.8,18,10,132126,11990,29,3,0,0,57,40,3.25,"Mid"
341,"11",3,"Ezreal",11,13,7,3.9,5.5,11525,192,30,9,128300,17059,27,1,0,0,45,24,3.20512820512821,"Bot"
342,"11",4,"Anivia",7,3,10,3,7,13080,195.7,22,6,142339,19644,16,2,0,0,70,10,5.66666666666667,"Mid"
343,"11",5,"Kog'Maw",4,3,8.7,5.6,8.9,11576,156.3,18,11,104896,17965,9,0,0,0,57,7,3.14285714285714,"Bot"
344,"11",6,"Viktor",3,1,7.3,3.3,5.5,10844,172,16,6,111315,12508,5,1,0,0,75,4,3.87878787878788,"Mid"
345,"11",7,"Sylas",1,3,5.8,9.3,5,12019,182.3,11,12,123831,33894,3,0,0,0,25,4,1.16129032258065,"Mid"
346,"11",8,"Rell",1,1,5,3.5,22,10817,47.5,10,5,39749,25056,1,0,0,0,50,2,7.71428571428571,"Support"
347,"11",9,"Séraphine",1,1,9,4,17,13442,187.5,10,5,143879,15466,1,0,0,0,50,2,6.5,"Support"
348,"11",10,"Vex",1,0,6,7,12,16686,293,6,7,267860,23583,1,0,0,0,100,1,2.57142857142857,"Mid"
349,"11",11,"Veigar",1,0,18,6,6,15974,188,18,6,152373,17360,4,0,0,0,100,1,4,"Mid"
350,"11",12,"Ashe",1,0,13,6,16,16957,227,13,6,215370,25841,1,0,0,0,100,1,4.83333333333333,"Bot"
351,"11",13,"Fizz",1,0,10,7,17,13380,137,10,7,87553,28123,0,0,0,0,100,1,3.85714285714286,"Mid"
352,"11",14,"Diana",1,0,10,4,8,17521,287,10,4,257625,25797,0,0,0,0,100,1,4.5,"Jungle"
353,"11",15,"Qiyana",0,1,4,7,2,10143,197,4,7,119463,19962,0,0,0,0,0,1,0.857142857142857,"Mid"
354,"11",16,"Caitlyn",0,1,8,3,5,13661,258,8,3,192095,20733,0,0,0,0,0,1,4.33333333333333,"Bot"
355,"11",17,"Ziggs",0,1,6,11,7,13450,211,6,11,154474,23410,0,0,0,0,0,1,1.18181818181818,"Mid"
356,"11",18,"Cassiopeia",0,1,5,3,3,9298,179,5,3,76389,13976,1,0,0,0,0,1,2.66666666666667,"Mid"
357,"11",19,"Camille",0,1,7,6,4,12397,208,7,6,140459,33520,0,0,0,0,0,1,1.83333333333333,"Top"
358,"11",20,"Pyke",0,1,6,11,11,9978,38,6,11,28083,23543,1,0,0,0,0,1,1.54545454545455,"Support"
359,"11",21,"Kayn",0,1,1,10,6,5789,79,1,10,66242,24808,0,0,0,0,0,1,0.7,"Jungle"
360,"11",22,"Azir",0,1,9,6,3,10171,158,9,6,108256,17501,2,0,0,0,0,1,2,"Mid"
