"champion","winrate","nb_game","kd_rate","nb_kill_mobs","gold","ligue","role"
"Syndra",51.4,2150,2.25,189.49,11098,"Master","Mid"
"Séraphine",51.33,2098,2.88,142.4,9942,"Master","Support"
"Vladimir",51.32,2804,2.43,198.17,11336,"Master","Mid"
"Zilean",51.27,4250,3.3,73.98,8267,"Master","Support"
"Karthus",51.26,2848,2.28,197.21,12495,"Master","Jungle"
"Gangplank",51.17,1974,2.03,208.1,13184,"Master","Top"
"Shyvana",51,647,2.48,200.91,12010,"Master","Jungle"
"Lucian",50.93,2211,2.2,203.07,12154,"Master","Bot"
"Renekton",50.86,2552,1.87,195.11,11444,"Master","Top"
"Warwick",50.85,531,1.82,153.5,10776,"Master","Jungle"
"Ezreal",50.82,7253,2.33,194.7,11803,"Master","Bot"
"Poppy",50.75,1535,2.48,144.49,10150,"Master","Jungle"
"Jayce",50.74,4275,1.77,202.85,12201,"Master","Top"
"Sett",50.6,2751,1.78,164.52,10924,"Master","Top"
"LeBlanc",50.52,2201,3.1,152.56,10745,"Master","Mid"
"Braum",50.38,919,2.82,33.09,7344,"Master","Support"
"Cho'Gath",50.31,972,2.12,186.2,10967,"Master","Top"
"Swain",50.25,394,2.4,119.01,10052,"Master","Support"
"Thresh",50.21,5258,2.74,32.55,7347,"Master","Support"
"Caitlyn",50.2,3974,2.29,198.94,11904,"Master","Bot"
"Xerath",50.11,2782,2.99,131.9,10829,"Master","Mid"
"Viktor",49.99,5417,2.17,202.07,11533,"Master","Mid"
"Nasus",49.87,762,1.89,182.76,11066,"Master","Top"
"Taliyah",49.42,692,2.49,138.49,11345,"Master","Jungle"
"Sivir",49.06,691,2.42,217.16,11987,"Master","Bot"
"Corki",49.04,2184,2.17,211.74,12582,"Master","Mid"
"Azir",48.87,663,2.13,193.39,11388,"Master","Mid"
"Ryze",48.5,2596,2.34,212.3,11408,"Master","Mid"
"Samira",48.16,1578,2.13,189.85,12281,"Master","Bot"
"Varus",47.89,1163,2.27,195.58,11784,"Master","Bot"
"Aphelios",47.8,5538,2.03,196.01,11716,"Master","Bot"
"Kled",60.36,111,2.03,171.05,11560,"Grandmaster","Top"
"Elise",60,110,2.65,108.06,10277,"Grandmaster","Jungle"
"Rek'Sai",58.83,583,2.75,149.46,11572,"Grandmaster","Jungle"
"Amumu",58.82,17,2.22,97.76,8583,"Grandmaster","Jungle"
"Kennen",58.41,339,2.08,167.82,10567,"Grandmaster","Top"
"Skarner",58.33,12,3.44,149.42,10260,"Grandmaster","Jungle"
"Ahri",58.27,1251,2.9,185.73,11281,"Grandmaster","Mid"
"Tahm Kench",58.13,332,2.8,52.77,7627,"Grandmaster","Top"
"Maokai",57.98,119,2.2,34.65,8151,"Grandmaster","Support"
"Xayah",57.61,276,2.49,212.67,12205,"Grandmaster","Bot"
"Vel'Koz",57.55,139,2.83,118.86,10262,"Grandmaster","Mid"
"Shen",57.19,292,3.03,140.27,8934,"Grandmaster","Top"
"Aurelion Sol",57.14,98,2.8,173.46,10680,"Grandmaster","Mid"
"Sejuani",56.96,79,3.51,146.06,10196,"Grandmaster","Jungle"
"Anivia",56.82,88,2.81,186.36,10939,"Grandmaster","Mid"
"Brand",56.39,266,1.95,93.15,10240,"Grandmaster","Support"
"Taliyah",56.38,94,2.62,149.61,10901,"Grandmaster","Jungle"
"Nunu et Willump",56.36,236,3.19,133.31,9757,"Grandmaster","Jungle"
"Rell",55.78,199,2.74,30.81,7412,"Grandmaster","Support"
"Annie",55.77,52,2.44,150.88,10331,"Grandmaster","Mid"
"Quinn",55.7,228,1.98,188.92,11878,"Grandmaster","Top"
"Kha'Zix",55.52,951,3.11,164.2,12043,"Grandmaster","Jungle"
"Lissandra",55.46,238,2.72,197.12,11391,"Grandmaster","Mid"
"Veigar",55.44,1434,2.4,193.44,11517,"Grandmaster","Mid"
"Talon",55.3,302,2.45,176.44,12116,"Grandmaster","Mid"
"Janna",55.28,1476,3.26,15.93,7273,"Grandmaster","Support"
"Ornn",55.27,512,2.51,168.67,9702,"Grandmaster","Top"
"Poppy",55.09,285,2.42,148.44,9904,"Grandmaster","Jungle"
"Azir",55.08,187,2.14,211.53,12318,"Grandmaster","Mid"
"Dr. Mundo",54.87,113,2.19,183.13,10549,"Grandmaster","Top"
"Katarina",54.79,365,2.68,157.17,11552,"Grandmaster","Mid"
"Zac",54.77,241,3.49,140.06,10285,"Grandmaster","Jungle"
"Yone",54.74,718,1.9,203.32,11644,"Grandmaster","Mid"
"Kayn",54.73,782,2.66,177.12,12214,"Grandmaster","Jungle"
"Qiyana",54.56,933,2.36,166.54,11499,"Grandmaster","Mid"
"Garen",54.5,189,2.08,197.2,11465,"Grandmaster","Top"
"Thresh",54.45,1201,2.81,31.82,7221,"Grandmaster","Support"
"Galio",54.39,239,3.03,113.29,9059,"Grandmaster","Support"
"Vi",54.35,46,2.69,159.83,11690,"Grandmaster","Jungle"
"Kindred",54.27,433,2.34,154.91,11472,"Grandmaster","Jungle"
"Bard",54.19,620,3.19,20.82,7947,"Grandmaster","Support"
"Vayne",54.06,727,2.03,184.35,11246,"Grandmaster","Bot"
"Ziggs",53.98,289,2.56,203.41,11628,"Grandmaster","Mid"
"Teemo",53.97,63,1.69,184.94,10912,"Grandmaster","Top"
"Kassadin",53.93,369,2.61,186.01,11463,"Grandmaster","Mid"
"Tristana",53.9,564,2.53,203.59,12323,"Grandmaster","Bot"
"Rengar",53.88,232,2.4,161.7,12115,"Grandmaster","Jungle"
"Vex",53.83,745,2.46,166.97,10710,"Grandmaster","Mid"
"Zilean",53.71,877,3.32,77.76,8143,"Grandmaster","Support"
"Zoé",53.56,435,2.73,168.73,10716,"Grandmaster","Mid"
"Trundle",53.44,247,2.64,148.99,10847,"Grandmaster","Jungle"
"Diana",53.4,1161,2.8,179.29,11869,"Grandmaster","Jungle"
"Alistar",53.4,206,2.78,29.51,7297,"Grandmaster","Support"
"Zeri",53.23,1860,2.49,200.34,11944,"Grandmaster","Bot"
"Gwen",53.23,1488,2.24,190.37,11676,"Grandmaster","Top"
"Draven",53.17,521,2.05,194.51,12811,"Grandmaster","Bot"
"Soraka",53.14,542,2.88,56.18,7488,"Grandmaster","Support"
"Orianna",53.1,339,2.63,206.89,11159,"Grandmaster","Mid"
"Wukong",53.1,145,1.88,158.94,10250,"Grandmaster","Top"
"Yasuo",53.07,976,1.85,201.3,11681,"Grandmaster","Mid"
"Heimerdinger",53.06,98,2.19,97.34,9903,"Grandmaster","Mid"
"Senna",53.05,1231,2.92,62.28,9912,"Grandmaster","Support"
"Rakan",53,868,3.16,29.03,7370,"Grandmaster","Support"
"Fiora",52.92,737,1.73,187.4,11409,"Grandmaster","Top"
"Rumble",52.89,450,2.64,160.29,11003,"Grandmaster","Top"
"Jinx",52.72,3120,2.53,208.46,11913,"Grandmaster","Bot"
"Zed",52.66,638,2.56,177.46,11716,"Grandmaster","Mid"
"Darius",52.65,340,1.86,189.39,11269,"Grandmaster","Top"
"Kayle",52.63,475,2.24,221.58,12156,"Grandmaster","Top"
"Riven",52.6,808,2.14,197.99,11479,"Grandmaster","Top"
"Aatrox",52.56,839,2.02,181.8,10878,"Grandmaster","Top"
"Hecarim",52.55,942,3.31,168.44,11546,"Grandmaster","Jungle"
"Pyke",52.37,1096,2.38,44.69,10117,"Grandmaster","Support"
"Karma",52.18,1901,3.06,43.07,8079,"Grandmaster","Support"
"Fizz",52.17,161,2,172.12,10922,"Grandmaster","Mid"
"Jhin",52.14,2704,3.2,195.69,11585,"Grandmaster","Bot"
"Lucian",52.02,494,2.2,200.38,11772,"Grandmaster","Bot"
"Camille",51.94,670,1.93,175.15,11118,"Grandmaster","Top"
"LeBlanc",51.91,601,2.9,159.66,10603,"Grandmaster","Mid"
"Irelia",51.75,914,1.66,220,12311,"Grandmaster","Top"
"Tryndamere",51.75,715,2.19,209.01,12193,"Grandmaster","Top"
"Nautilus",51.74,949,2.38,32.62,7230,"Grandmaster","Support"
"Xin Zhao",51.72,1224,2.61,150.14,10760,"Grandmaster","Jungle"
"Sylas",51.72,785,2.26,161.26,10595,"Grandmaster","Mid"
"Nasus",51.7,147,2.34,188.95,11303,"Grandmaster","Top"
"Blitzcrank",51.6,469,2.41,30.51,7450,"Grandmaster","Support"
"Kai'Sa",51.41,780,2.59,203.04,12226,"Grandmaster","Bot"
"Jax",51.38,545,1.61,192.15,11599,"Grandmaster","Top"
"Séraphine",51.35,444,2.71,145.58,9751,"Grandmaster","Support"
"Jayce",51.26,950,1.76,203.19,11922,"Grandmaster","Top"
"Twisted Fate",51.25,359,2.53,172.47,11096,"Grandmaster","Mid"
"Lux",51.24,523,2.68,64.43,8952,"Grandmaster","Mid"
"Malzahar",51.23,162,2.22,189.68,10882,"Grandmaster","Mid"
"Vladimir",51.14,438,2.33,200.54,11108,"Grandmaster","Mid"
"Lulu",51.1,1227,3.15,19.32,7397,"Grandmaster","Support"
"Sona",51.09,552,2.73,15.93,7584,"Grandmaster","Support"
"Graves",50.95,1364,2.28,205.81,11883,"Grandmaster","Jungle"
"Cassiopeia",50.82,244,1.98,195.73,11568,"Grandmaster","Mid"
"Caitlyn",50.76,851,2.29,202.65,11868,"Grandmaster","Bot"
"Viktor",50.75,1072,2.26,208.77,11664,"Grandmaster","Mid"
"Ashe",50.69,144,2.38,182.18,11337,"Grandmaster","Bot"
"Syndra",50.65,614,2.27,194.51,10989,"Grandmaster","Mid"
"Volibear",50.54,465,2.67,147.19,10435,"Grandmaster","Jungle"
"Maître Yi",50.54,186,2.19,146.56,11342,"Grandmaster","Jungle"
"Yorick",50.53,188,1.65,216.67,11577,"Grandmaster","Top"
"Karthus",50.52,483,2.12,196.22,12250,"Grandmaster","Jungle"
"Malphite",50.35,286,2.27,150.74,9398,"Grandmaster","Top"
"Sion",50.18,283,1.56,195.67,10875,"Grandmaster","Top"
"Lee Sin",50.15,1996,3.07,148.08,11070,"Grandmaster","Jungle"
"Akshan",50.13,746,2.01,182.44,11763,"Grandmaster","Mid"
"Nidalee",50,668,3.29,158.88,11242,"Grandmaster","Jungle"
"Shaco",50,350,2.98,132.15,10655,"Grandmaster","Jungle"
"Morgana",50,206,2.61,36.87,7815,"Grandmaster","Support"
"Pantheon",50,144,1.98,151.83,10351,"Grandmaster","Support"
"Braum",50,128,2.72,32.47,7336,"Grandmaster","Support"
"Warwick",50,76,2.03,155.51,11298,"Grandmaster","Jungle"
"Leona",49.93,679,2.34,32.81,7055,"Grandmaster","Support"
"Nami",49.88,866,3.39,12.08,7683,"Grandmaster","Support"
"Ezreal",49.82,1646,2.23,194.06,11454,"Grandmaster","Bot"
"Kalista",49.76,205,2.57,212.11,12425,"Grandmaster","Bot"
"Viego",49.73,1647,2.69,156.74,11243,"Grandmaster","Jungle"
"Gragas",49.66,596,2.33,147.08,9592,"Grandmaster","Top"
"Urgot",49.59,482,1.64,199.52,11875,"Grandmaster","Top"
"Shyvana",49.48,194,2.2,194.99,11807,"Grandmaster","Jungle"
"Jarvan IV",49.43,611,3.38,143.44,10758,"Grandmaster","Jungle"
"Gnar",49.3,501,1.72,193.7,11096,"Grandmaster","Top"
"Renekton",49.25,670,1.88,196.02,11270,"Grandmaster","Top"
"Twitch",49.25,532,2.35,164.5,11490,"Grandmaster","Bot"
"Miss Fortune",49,100,2.42,208.73,12325,"Grandmaster","Bot"
"Aphelios",48.9,1415,2.12,197.24,11685,"Grandmaster","Bot"
"Ekko",48.71,620,2.58,183.5,11854,"Grandmaster","Mid"
"Akali",48.57,1223,2.22,169.08,10881,"Grandmaster","Mid"
"Ryze",48.53,853,2.38,212.79,11289,"Grandmaster","Mid"
"Yuumi",48.44,931,4.16,6.2,7453,"Grandmaster","Support"
"Gangplank",48.4,438,1.89,206.79,12780,"Grandmaster","Top"
"Samira",48.09,235,2.22,192.2,12069,"Grandmaster","Bot"
"Sivir",47.92,192,2.41,213.41,11904,"Grandmaster","Bot"
"Udyr",47.9,167,2.91,175.86,11207,"Grandmaster","Jungle"
"Swain",47.62,42,2.54,66.5,9033,"Grandmaster","Support"
"Cho'Gath",47.47,297,2.17,190.27,11166,"Grandmaster","Top"
"Kog'Maw",47.37,114,2.2,204.66,11882,"Grandmaster","Bot"
"Evelynn",47.26,201,3.15,153.29,11227,"Grandmaster","Jungle"
"Olaf",46.88,128,2.37,168.93,11125,"Grandmaster","Jungle"
"Sett",46.86,510,1.8,147.24,10342,"Grandmaster","Top"
"Lillia",46.82,173,2.99,187.86,11729,"Grandmaster","Jungle"
"Varus",46.73,214,2.18,193.37,11438,"Grandmaster","Bot"
"Mordekaiser",46.07,89,1.59,190.47,11004,"Grandmaster","Top"
"Ivern",45.95,148,3.41,107.61,8518,"Grandmaster","Jungle"
"Taric",45.93,209,3.86,38.67,7083,"Grandmaster","Support"
"Corki",45.28,413,2.2,212.77,12324,"Grandmaster","Mid"
"Neeko",44.59,74,2.05,152.43,10523,"Grandmaster","Mid"
"Xerath",44.19,310,2.8,134.14,10425,"Grandmaster","Mid"
"Fiddlesticks",44.04,109,2.57,152.79,10365,"Grandmaster","Jungle"
"Illaoi",42.42,33,1.5,216.67,12248,"Grandmaster","Top"
"Zyra",41.86,43,1.81,42.28,7768,"Grandmaster","Support"
"Singed",37.19,121,2.35,140.4,9402,"Grandmaster","Top"
"Rammus",34.62,26,2.24,83.77,8070,"Grandmaster","Jungle"
"Illaoi",75,8,0.92,191.25,10613,"Challenger","Top"
"Teemo",66.67,6,2.17,149.33,10535,"Challenger","Top"
"Malzahar",66,50,2.34,206.78,11517,"Challenger","Mid"
"Miss Fortune",65.31,49,2.48,211.33,11757,"Challenger","Bot"
"Kennen",64.38,146,2.45,172.76,10723,"Challenger","Top"
"Wukong",63.16,38,1.96,167.87,10603,"Challenger","Top"
"Neeko",62.34,77,2.63,155.61,10266,"Challenger","Mid"
"Annie",61.11,36,2.94,170.44,11247,"Challenger","Mid"
"Riven",60.82,194,2.23,200.38,11665,"Challenger","Top"
"Bard",60.29,277,3.48,18.87,8059,"Challenger","Support"
"Pantheon",59.48,116,2.42,144.99,10665,"Challenger","Support"
"Rek'Sai",59.06,254,2.68,143.52,11558,"Challenger","Jungle"
"Rumble",58.97,117,2.94,166,11136,"Challenger","Top"
"Janna",58.82,510,3.5,16.71,7296,"Challenger","Support"
"Rakan",58.46,402,3.57,30.07,7551,"Challenger","Support"
"Ivern",58.33,96,4.14,100.94,8501,"Challenger","Jungle"
"Zoé",57.89,133,3.24,175.72,10689,"Challenger","Mid"
"Kalista",57.89,95,2.17,216.08,12900,"Challenger","Bot"
"Zed",57.85,242,2.84,177.67,12002,"Challenger","Mid"
"Varus",57.8,109,2.44,202.34,11878,"Challenger","Bot"
"Camille",57.53,299,2.1,173.19,11045,"Challenger","Top"
"Qiyana",57.47,435,2.62,174.56,11878,"Challenger","Mid"
"Warwick",57.35,211,2,139.27,10480,"Challenger","Jungle"
"Galio",57.14,84,2.88,115.49,9077,"Challenger","Support"
"Zac",57.14,56,4.32,145.13,10922,"Challenger","Jungle"
"Lissandra",57.14,42,2.99,184.4,10976,"Challenger","Mid"
"Swain",57.14,35,4.32,185.54,12537,"Challenger","Support"
"Taric",57.14,35,3.26,38.43,7525,"Challenger","Support"
"Ornn",57.02,114,2.41,169.06,9692,"Challenger","Top"
"Kha'Zix",56.71,559,3.13,162.06,11830,"Challenger","Jungle"
"Garen",56.67,30,2,198.27,12183,"Challenger","Top"
"Nami",56.6,265,3.07,13.8,7951,"Challenger","Support"
"Sion",56.54,191,1.31,221.96,12089,"Challenger","Top"
"Kayle",56.41,39,2.2,190.26,10497,"Challenger","Top"
"Vel'Koz",56.41,39,2.73,102.13,9637,"Challenger","Mid"
"Trundle",56.34,71,2.73,138.31,10490,"Challenger","Jungle"
"Ahri",56.33,671,2.85,183.72,11129,"Challenger","Mid"
"Alistar",56.29,151,2.71,30.01,7186,"Challenger","Support"
"Singed",56.29,151,2.62,139.44,9588,"Challenger","Top"
"Rell",56.25,48,2.66,32.04,7319,"Challenger","Support"
"Sejuani",56.25,32,3.26,135.78,9676,"Challenger","Jungle"
"Sona",56.19,315,3.04,18.36,7645,"Challenger","Support"
"Maître Yi",56.06,66,2.18,151.94,11178,"Challenger","Jungle"
"Taliyah",56.03,141,2.84,163.39,11557,"Challenger","Jungle"
"Vex",55.99,409,2.69,165.51,10658,"Challenger","Mid"
"Karma",55.95,1008,3.03,62.02,8373,"Challenger","Support"
"Tryndamere",55.9,288,2.06,204.12,11930,"Challenger","Top"
"Veigar",55.83,532,2.6,194.53,11388,"Challenger","Mid"
"Soraka",55.81,267,3.04,38.84,7444,"Challenger","Support"
"Poppy",55.71,140,2.84,145.48,10065,"Challenger","Jungle"
"Zeri",55.59,734,2.55,202.3,12200,"Challenger","Bot"
"Renekton",55.59,295,1.99,191.45,11172,"Challenger","Top"
"Hecarim",55.58,394,3.61,166.8,11388,"Challenger","Jungle"
"Volibear",55.56,288,3.33,143.98,10487,"Challenger","Jungle"
"Aurelion Sol",55.56,117,2.57,156.64,10055,"Challenger","Mid"
"Skarner",55.56,9,3.53,143.44,10297,"Challenger","Jungle"
"Nautilus",55.5,436,2.47,33.4,7147,"Challenger","Support"
"Diana",55.32,555,2.82,181.41,11964,"Challenger","Jungle"
"Jinx",55.14,1380,2.69,214.41,12219,"Challenger","Bot"
"Xin Zhao",55.14,555,2.7,151,10919,"Challenger","Jungle"
"Cassiopeia",54.96,242,2.14,201.33,11738,"Challenger","Mid"
"Ziggs",54.9,102,2.59,199.1,11584,"Challenger","Mid"
"Pyke",54.86,740,2.57,43.45,10411,"Challenger","Support"
"Aatrox",54.85,361,2,172.92,10755,"Challenger","Top"
"Vayne",54.79,219,2.21,201.21,12316,"Challenger","Bot"
"Syndra",54.69,320,2.48,197.73,11200,"Challenger","Mid"
"Braum",54.69,64,2.7,30.34,7045,"Challenger","Support"
"Viktor",54.64,496,2.38,212.88,11723,"Challenger","Mid"
"Karthus",54.6,326,2.32,196.62,12215,"Challenger","Jungle"
"Twisted Fate",54.59,185,2.82,162.65,10668,"Challenger","Mid"
"Leona",54.55,385,2.59,32.88,7307,"Challenger","Support"
"Gangplank",54.48,145,2.14,213.7,13368,"Challenger","Top"
"Olaf",54.39,57,2.6,172.04,11542,"Challenger","Jungle"
"Shen",54.29,140,3.21,144.69,9560,"Challenger","Top"
"Rengar",54.17,192,2.51,153.86,11968,"Challenger","Jungle"
"Sylas",54.05,420,2.27,166.25,10660,"Challenger","Mid"
"Quinn",53.85,65,1.67,190.98,12111,"Challenger","Top"
"Mordekaiser",53.85,39,2.18,187.79,11417,"Challenger","Top"
"Vladimir",53.74,214,2.9,205,11440,"Challenger","Mid"
"Darius",53.68,231,1.89,182.76,11116,"Challenger","Top"
"Ezreal",53.65,617,2.29,197.83,11702,"Challenger","Bot"
"Lucian",53.57,224,2.11,205.84,11943,"Challenger","Bot"
"Caitlyn",53.47,303,2.61,213.23,12476,"Challenger","Bot"
"Tristana",53.25,415,2.61,199.5,12481,"Challenger","Bot"
"Katarina",53.03,132,2.63,161.23,11498,"Challenger","Mid"
"Jhin",52.96,1046,3.31,204.17,11953,"Challenger","Bot"
"Kai'Sa",52.91,206,2.67,207.11,12209,"Challenger","Bot"
"Viego",52.77,938,2.84,155.18,11343,"Challenger","Jungle"
"Fizz",52.52,139,1.66,157.03,10924,"Challenger","Mid"
"Thresh",52.46,589,2.81,31.35,7129,"Challenger","Support"
"Tahm Kench",52.41,145,2.53,45.19,7156,"Challenger","Top"
"Kindred",52.38,189,2.34,163.26,11721,"Challenger","Jungle"
"Yuumi",52.32,539,4.22,5.26,7345,"Challenger","Support"
"Sivir",52.27,176,2.63,210.74,12051,"Challenger","Bot"
"Nidalee",52.22,293,3.38,156.48,11310,"Challenger","Jungle"
"Aphelios",52.2,862,2.21,205.05,12052,"Challenger","Bot"
"Lee Sin",52.15,1093,3.16,148.15,11089,"Challenger","Jungle"
"Gwen",52.02,794,2.37,189.65,11834,"Challenger","Top"
"Maokai",51.85,27,2.12,63.67,8095,"Challenger","Support"
"Jarvan IV",51.84,245,3.68,141.93,10883,"Challenger","Jungle"
"Graves",51.71,702,2.4,210.14,12211,"Challenger","Jungle"
"Yasuo",51.65,395,1.8,199.72,11564,"Challenger","Mid"
"LeBlanc",51.61,403,3.31,170.18,10939,"Challenger","Mid"
"Jayce",51.29,505,1.82,200.06,11872,"Challenger","Top"
"Samira",51.28,117,2.41,208.39,13026,"Challenger","Bot"
"Evelynn",51.22,41,4.51,162.88,12163,"Challenger","Jungle"
"Kayn",51.01,198,2.63,164,11375,"Challenger","Jungle"
"Gnar",50.87,230,1.96,198.01,11402,"Challenger","Top"
"Jax",50.81,246,1.73,167.44,10757,"Challenger","Top"
"Urgot",50.75,67,1.49,196.21,11350,"Challenger","Top"
"Senna",50.52,477,2.78,53.5,9586,"Challenger","Support"
"Fiora",50.35,427,1.66,182.33,11245,"Challenger","Top"
"Ryze",50.3,507,2.61,213.1,11593,"Challenger","Mid"
"Draven",50.25,197,2,197.88,12498,"Challenger","Bot"
"Lux",50.19,259,2.67,81.7,9376,"Challenger","Mid"
"Yone",50.18,275,1.8,210.08,12140,"Challenger","Mid"
"Malphite",50,88,2.37,156.24,9594,"Challenger","Top"
"Lillia",50,72,3.13,185.86,11785,"Challenger","Jungle"
"Morgana",50,46,3,32.85,8283,"Challenger","Support"
"Kled",50,38,1.74,158.29,10057,"Challenger","Top"
"Heimerdinger",50,16,2.04,110.06,9983,"Challenger","Mid"
"Yorick",50,6,0.82,203.33,12320,"Challenger","Top"
"Vi",50,4,3.26,160.25,11668,"Challenger","Jungle"
"Amumu",50,4,3,30.5,7253,"Challenger","Jungle"
"Lulu",49.75,601,3.12,20.82,7674,"Challenger","Support"
"Xayah",49.63,135,2.45,222.37,12467,"Challenger","Bot"
"Elise",49.59,123,2.24,104.99,9854,"Challenger","Jungle"
"Akshan",49.55,337,2.22,189.95,12447,"Challenger","Mid"
"Orianna",49.55,224,2.59,207.6,11047,"Challenger","Mid"
"Akali",49.43,706,2.26,168.83,10856,"Challenger","Mid"
"Talon",48.89,45,2.1,178.2,11409,"Challenger","Mid"
"Shaco",48.89,45,2.36,130.64,10887,"Challenger","Jungle"
"Ekko",48.85,348,2.48,183.7,12094,"Challenger","Mid"
"Gragas",48.8,250,2.5,151.74,10067,"Challenger","Top"
"Udyr",48.72,39,2.98,191.72,11468,"Challenger","Jungle"
"Irelia",48.56,348,1.65,212.27,11972,"Challenger","Top"
"Twitch",48.54,103,2.06,152.88,10767,"Challenger","Bot"
"Blitzcrank",48.29,350,2.54,29.96,7288,"Challenger","Support"
"Nunu et Willump",48.28,116,2.37,102.79,9419,"Challenger","Jungle"
"Xerath",47.9,167,3.13,141.99,11009,"Challenger","Mid"
"Séraphine",47.28,184,2.85,158.71,9371,"Challenger","Support"
"Corki",47.22,216,2.32,212.74,12290,"Challenger","Mid"
"Zilean",46.92,390,3.03,80.23,7912,"Challenger","Support"
"Dr. Mundo",46.88,32,2.39,173.38,9804,"Challenger","Top"
"Kassadin",46.79,156,2.51,186.52,11279,"Challenger","Mid"
"Sett",46.74,276,1.79,144.63,9957,"Challenger","Top"
"Nasus",46.43,28,1.74,180.64,10777,"Challenger","Top"
"Cho'Gath",46.03,63,2.02,188.44,10628,"Challenger","Top"
"Anivia",45.83,24,2.33,188.71,11854,"Challenger","Mid"
"Brand",43.75,80,1.87,78.2,9657,"Challenger","Support"
"Azir",43.48,46,2.14,205.13,11379,"Challenger","Mid"
"Shyvana",42.47,73,2.31,200.73,12116,"Challenger","Jungle"
"Ashe",39.13,46,2.1,181.8,11030,"Challenger","Bot"
"Kog'Maw",36.84,19,2.03,217.53,13684,"Challenger","Bot"
"Fiddlesticks",33.33,6,2.67,145,10594,"Challenger","Jungle"
"Zyra",22.22,9,1.8,26.56,6923,"Challenger","Support"
"Rammus",0,1,0.43,89,5963,"Challenger","Jungle"
