,champion,race,type,region,bio
107,Sett,Unknown,"RÔLE
COMBATTANT","RÉGION
IONIA","Sett s'est imposé en tant que chef du monde criminel florissant d'Ionia après la guerre contre Noxus. Bien qu'il ait fait ses débuts de manière modeste dans les arènes de combat de Navori, il s'est rapidement fait une réputation pour sa force sauvage et sa capacité à encaisser tous les coups sans broncher. Après s'être battu pour se faire une place parmi les combattants locaux, Sett s'est hissé au sommet à la force de ses poings pour finalement prendre le contrôle des arènes dans lesquelles il se battait autrefois."
108,Fate,Unknown,"RÔLE
ASSASSIN","RÉGION
RUNETERRA","Fabriqué il y a longtemps pour servir de jouet à un prince qui se sentait seul, Shaco est une marionnette enchantée qui se repaît désormais de meurtres et de chaos. Corrompu par la magie noire et la perte de sa chère mission, le pantin autrefois gentil ne se réjouit plus que du malheur des âmes qu'il tourmente. Il utilise ses jouets et ses mauvais tours pour répandre la mort et le sang, ce qui le fait follement rire. Tous ceux qui, la nuit venue, entendent un odieux ricanement savent qu'ils sont la prochaine cible du Bouffon des ténèbres."
109,Shen,Unknown,"RÔLE
TANK","RÉGION
IONIA","Shen, l'Œil du crépuscule, est le chef d'un groupe secret de guerriers ioniens connu sous le nom de Kinkou. Désireux d'échapper aux méfaits des émotions, des préjugés et de l'ego, il porte un regard désintéressé sur les choses en arpentant le chemin invisible entre le royaume des esprits et le monde physique. Ayant pour mission d'assurer leur équilibre, Shen emploie ses lames d'acier et son énergie arcanique contre ceux qui voudraient le menacer."
110,Shyvana,Unknown,"RÔLE
COMBATTANT","RÉGION
DEMACIA","Shyvana est une créature au cœur embrasé par la magie élémentaire. Bien qu'elle soit le plus souvent visible sous sa forme humaine, elle peut adopter sa véritable forme lorsque c'est nécessaire, celle d'un dragon terrifiant incinérant ses ennemis à l'aide de son souffle enflammé. Après avoir sauvé la vie du prince héritier Jarvan IV, Shyvana sert au sein de sa garde royale, luttant pour être acceptée par le peuple suspicieux de Demacia."
111,Singed,Unknown,"RÔLE
TANK","RÉGION
ZAUN","Singed est un alchimiste zaunien d'une intelligence exceptionnelle, prêt à tout pour repousser les limites de la connaissance, y compris y perdre sa santé mentale. Sa folie répond-elle à une logique ? Ses décoctions ont généralement l'effet escompté, mais pour beaucoup, Singed a perdu tout ce qui faisait de lui un être humain, ne laissant dans son sillage qu'une trace nocive et terrifiante."
112,Sion,Unknown,"RÔLE
TANK","RÉGION
NOXUS","Chef de guerre brutal d'une ère passée, Sion était vénéré à Noxus pour avoir tué un roi de Demacia à mains nues, mais on le priva du repos de la mort et on le ressuscita pour servir de nouveau l'empire. Ses massacres détruisent tous ceux qui se trouvent à proximité, quelle que soit leur allégeance, car il ne lui reste plus grand-chose de son ancienne humanité. Son armure rivetée à même la chair, Sion charge sans relâche au combat, luttant entre deux coups de sa puissante hache pour tenter de se remémorer qui il était."
113,Sivir,Unknown,"RÔLE
TIREUR","RÉGION
SHURIMA","Sivir est un célèbre capitaine de mercenaires œuvrant dans le désert de Shurima. Équipée de son arme légendaire, elle a mené et remporté d'innombrables batailles pour les clients capables de s'offrir ses services. Elle mettait son honneur à retrouver les trésors perdus des catacombes de l'ancien empire… tout en empochant une part des bénéfices. Mais le jour où des forces ancestrales se sont éveillées au plus profond de Shurima, Sivir s'est retrouvée tiraillée entre deux destins conflictuels…"
114,Skarner,Unknown,"RÔLE
COMBATTANT","RÉGION
SHURIMA","Skarner est un Brackern, un immense scorpion cristallin venu d'une vallée cachée de Shurima. Les Brackerns sont réputés pour leur grande sagesse et leur profond lien avec la magie, et leurs corps abritent de puissants cristaux vivants qui servent de réceptacles aux pensées et souvenirs de leurs ancêtres. Il y a de cela fort longtemps, ils sont entrés en hibernation pour éviter la destruction, mais de récents événements ont réveillé Skarner, et celui-ci tente désormais de protéger les siens qui sommeillent encore contre quiconque les mettrait en danger."
115,Swain,Unknown,"RÔLE
SUPPORT","RÉGION
DEMACIA","Sona est une virtuose de l'etwahl qui ne s'exprime que par ses accords vibrants et gracieux. Ses manières distinguées lui valent d'être appréciée par la noblesse demacienne, bien que beaucoup soupçonnent ses mélodies envoûtantes de s'apparenter à de la magie, tabou au sein du royaume. Inaudible pour des étrangers, mais comprise par ses compagnons les plus proches, Sona se sert de ses harmonies pour soigner ses alliés blessés, mais également pour frapper ses ennemis par surprise."
116,Soraka,Unknown,"RÔLE
SUPPORT","RÉGION
TARGON","Vagabonde du royaume céleste, Soraka a abandonné sa forme d'immortelle pour protéger les races mortelles de leur propre ignorance et de leurs instincts violents. Elle cherche à répandre les vertus de la compassion et de la pitié auprès de tous ceux qu'elle rencontre : elle guide les égarés et soigne les blessés. Et, malgré toutes les souffrances dont Soraka a été témoin dans ce monde, elle croit encore que le peuple de Runeterra n'a pas atteint son plein potentiel."
117,Swain,Unknown,"RÔLE
MAGE","RÉGION
NOXUS","Jericho Swain est le chef visionnaire de Noxus, cette nation expansionniste qui ne respecte que la force. Bien que déchu et blessé pendant les guerres ioniennes, il a pris le contrôle de l'empire avec une féroce détermination… et une nouvelle main, démoniaque, a remplacé celle qu'il a perdue au combat. Désormais, Swain dirige ses armées sur la ligne de front, face à des ténèbres qu'il est le seul à percevoir à l'horizon, dans le vol des corbeaux attirés par les cadavres qui l'entourent. Dans un tourbillon de sacrifices et de regrets, le plus grand secret entre tous, c'est que le véritable ennemi est à l'intérieur."
118,Sylas,Unknown,"RÔLE
MAGE","RÉGION
DEMACIA","Élevé dans l'un des quartiers les plus pauvres de Demacia, Sylas de Liebourg est devenu le symbole du côté obscur de la Grande cité. Enfant, sa capacité à déceler la sorcellerie cachée attira l'attention des tristement célèbres traqueurs de mages, qui finirent par l'emprisonner pour avoir retourné ses pouvoirs contre eux. Désormais libéré de ses chaînes, Sylas est un révolutionnaire convaincu, employant la magie de ceux qui l'entourent pour ravager le royaume qu'il a autrefois servi… Et son groupe de mages exilés semble grandir chaque jour un peu plus."
119,Syndra,Unknown,"RÔLE
MAGE","RÉGION
IONIA","Syndra est une effrayante magicienne originaire d'Ionia, aux pouvoirs impressionnants. Enfant, elle perturba les anciens de son village avec sa magie sauvage et incontrôlée. Elle fut confiée à un maître dans l'espoir qu'elle apprendrait à se contrôler, mais elle finit par découvrir que son prétendu mentor limitait ses capacités. Créant des sphères d'énergie noire avec ses sentiments de douleur et de trahison, Syndra jura de détruire quiconque tenterait de la contrôler."
120,Séraphine,Unknown,"RÔLE
MAGE","RÉGION
PILTOVER","Née à Piltover de parents zauniens, Séraphine peut entendre les âmes des autres. Le monde chante pour elle et elle chante pour le monde. Alors que ces sons l'accablaient dans sa jeunesse, elle s'en inspire aujourd'hui et transforme le chaos en symphonie. Elle chante pour les cités sœurs, afin de rappeler à leurs citoyens qu'ils ne sont pas seuls, qu'ils sont plus forts ensemble et que, pour elle, leur potentiel est infini."
121,Kench,Unknown,"RÔLE
SUPPORT","RÉGION
RUNETERRA","Au fil du temps, on lui a donné de nombreux noms. Le démon Tahm Kench voyage dans les cours d'eau de Runeterra, nourrissant son insatiable appétit de la misère des autres. Bien qu'il puisse sembler particulièrement charmant et fier, il rôde dans le monde tel un vagabond à la recherche d'une proie sans méfiance. Sa langue extensible peut étourdir un guerrier en armure à plusieurs mètres de distance, avant de l'attirer dans son estomac gargouillant vers un abysse dont il n'a que peu de chances de revenir."
122,Taliyah,Unknown,"RÔLE
MAGE","RÉGION
SHURIMA","Taliyah est une mage issue des tribus nomades de Shurima, déchirée entre l'émerveillement de la jeunesse et les responsabilités des adultes. Elle a déjà traversé pratiquement tout Valoran pour découvrir la véritable nature de ses pouvoirs toujours plus puissants, avant d'être récemment retournée dans sa tribu pour la protéger. Certains se méprennent sur sa compassion et paient leur erreur au prix fort : sous son attitude joviale, Taliyah dissimule une volonté de fer capable de déplacer les montagnes et un esprit assez féroce pour faire trembler la terre."
123,Couteau,Unknown,"RÔLE
ASSASSIN","RÉGION
NOXUS","Talon est la dague cachée dans l'ombre, un assassin impitoyable, capable de frapper sans prévenir et de fuir avant que l'alerte ne soit donnée. Il a acquis une dangereuse réputation dans les brutales rues de Noxus, où il a été contraint de se battre, de tuer et de voler pour survivre. Adopté par la tristement célèbre famille Du Couteau, il use maintenant de ses talents au service de l'empire, assassinant les chefs, capitaines et héros ennemis... mais aussi tout Noxien qui aurait attiré l'ire de ses maîtres."
124,Taric,Unknown,"RÔLE
SUPPORT","RÉGION
TARGON","Taric est l'hôte de la Manifestation du Protecteur, doté d'un incroyable pouvoir en tant que gardien de la vie, de l'amour et de la beauté sur Runeterra. Couvert d'opprobre pour avoir abandonné son poste et exilé de sa terre natale de Demacia, Taric a entrepris l'ascension du Mont Targon en quête de rédemption et s'est découvert une mission supérieure au sein des étoiles. Imprégné de la puissance d'un être céleste, le « Bouclier de Valoran » se dresse désormais contre quiconque menacerait les habitants de ce monde."
125,Tristana,Unknown,"RÔLE
TIREUR","RÉGION
BANDLE","N'ayant pas peur de braver les obstacles les plus dangereux, Teemo explore le monde avec un enthousiasme débordant et une bonne humeur contagieuse. Yordle au sens moral inflexible, il suit fièrement les préceptes du Code des éclaireurs de Bandle, parfois avec tant d'empressement qu'il en oublie les conséquences néfastes de ses actions. Pour certains, l'existence même des éclaireurs est à remettre en cause. Mais ce qu'il ne faut surtout pas remettre en cause, ce sont les convictions de Teemo !"
126,Thresh,Unknown,"RÔLE
SUPPORT","RÉGION
ÎLES OBSCURES","Sadique mais rusé, Thresh est un ambitieux esprit des Îles obscures. Autrefois le gardien d'innombrables secrets des arcanes, il fut terrassé par un pouvoir plus grand que la vie ou la mort, et il s'alimente maintenant des souffrances et des tourments qu'il inflige à d'autres avec une inventivité cruelle. Les souffrances de ses victimes ne se limitent pas à leur enveloppe mortelle, car Thresh fait agoniser leurs âmes, les emprisonnant pour l'éternité dans sa lanterne impie."
127,Tristana,Unknown,"RÔLE
TIREUR","RÉGION
BANDLE","Si bon nombre d'autres yordles utilisent leur énergie débordante pour explorer, découvrir, inventer ou plus simplement jouer de mauvais tours, Tristana a toujours puisé son inspiration dans les récits des grands guerriers. Elle avait beaucoup entendu parler de Runeterra, de ses factions et de ses guerres, et elle pensait que les yordles aussi avaient l'étoffe des légendes. Dès son arrivée dans ce monde, elle s'équipa de son fidèle canon Boomer pour se jeter au combat avec un courage et un optimisme sans bornes."
128,Trundle,Unknown,"RÔLE
COMBATTANT","RÉGION
FRELJORD","Trundle est un troll massif, sournois et malicieux. Il n'y a rien qu'il ne puisse soumettre à sa volonté avec son gourdin, pas même Freljord. Extrêmement territorial, Trundle traque tous ceux qui sont assez fous pour pénétrer sur ses terres. Ensuite, armé de son imposante massue en glace pure, il fait trembler ses ennemis avant de leur planter des éclats de glace dans le corps et de se moquer d'eux tandis que la toundra absorbe leur sang."
129,Tryndamere,Unknown,"RÔLE
COMBATTANT","RÉGION
FRELJORD","Poussé par une rage infinie, Tryndamere a naguère traversé Freljord et parfait sa maîtrise du combat en défiant les plus grands guerriers du nord, pour se préparer aux jours sombres qui s'annonçaient. Le barbare enragé cherche depuis longtemps à se venger de l'annihilation de son clan, mais il est récemment devenu le compagnon d'Ashe et a forgé par un mariage une alliance avec la chef de guerre des Avarosans. Sa force est pratiquement surhumaine et son courage légendaire, et cela lui a permis de remporter avec ses nouveaux alliés d'innombrables victoires plus qu'improbables."
130,Fate,Unknown,"RÔLE
MAGE","RÉGION
BILGEWATER","Twisted Fate est un virtuose des cartes à la réputation ambiguë qui a parcouru le monde entier pour l'éblouir de son charme et de ses talents, s'attirant l'admiration et la haine des riches comme des pigeons. Il prend rarement les choses au sérieux, salue chaque nouveau jour avec un sourire moqueur et insouciant. Twisted a toujours un atout dans sa manche, au propre comme au figuré."
131,Twitch,Unknown,"RÔLE
TIREUR","RÉGION
ZAUN","Rat de Zaun, pesteux de naissance, connaisseur en saleté par passion, Twitch n'a pas peur de se salir les pattes. Armé d'une arbalète chimique qu'il pointe droit sur le cœur de Piltover, Twitch s'est juré de montrer aux gens de la surface à quel point ils sont vraiment sales. Toujours furtif et insaisissable, quand il ne traîne pas dans le Puisard, il fouille dans les déchets à la recherche de trésors qu'il est le seul à apprécier... ou d'un morceau de sandwich."
132,Udyr,Unknown,"RÔLE
COMBATTANT","RÉGION
FRELJORD","Plus qu'un simple mortel, Udyr est le réceptacle de la puissance sauvage des esprits animaux primitifs de Freljord. Quand il puise dans leur nature bestiale, il bénéficie de forces différentes : vitesse, résistance ou férocité brutale. En combinant ces atouts, Udyr repoussera quiconque veut attaquer l'ordre naturel du monde."
133,Urgot,Unknown,"RÔLE
COMBATTANT","RÉGION
ZAUN","Autrefois, Urgot était un puissant bourreau noxien. Il fut trahi par l'empire pour lequel il avait tant tué. Ceint de chaînes de fer, il fut contraint d'apprendre le vrai sens de la force dans les Oubliettes, une mine de forçats située dans les profondeurs de Zaun. Il put émerger à l'occasion d'un désastre qui jeta toute la ville dans le chaos. À présent, son ombre imposante s'étend dans son empire criminel souterrain. Levant sur ses victimes les chaînes qui le maintenaient naguère en esclavage, il veut purger son nouveau foyer, nouvelle croisée des douleurs, de tous ceux qu'il en estime indignes."
134,Varus,"RACE
DARKIN","RÔLE
TIREUR","RÉGION
IONIA","Membre de la race antique des Darkin, Varus était en son temps un assassin cruel qui aimait torturer ses ennemis, les conduisant jusqu'aux portes de la folie avant de les achever d'une flèche. À la fin de la Guerre des Darkin, il fut emprisonné. Des siècles plus tard, il s'évada en utilisant la chair recomposée de deux chasseurs d'Ionia : l'ayant relâché par imprudence, ils furent condamnés à porter l'arc lié à l'essence de Varus. Varus traque désormais ceux qui l'ont enfermé pour se venger, mais les âmes des mortels à l'intérieur de lui s'opposent à ses desseins de toutes leurs forces."
135,Vayne,Unknown,"RÔLE
TIREUR","RÉGION
DEMACIA","Shauna Vayne est une chasseuse de monstres mortelle et sans scrupule. Originaire de Demacia, elle voue sa vie à la destruction du démon qui a assassiné sa famille. Armée d'une arbalète montée sur son poignet et dotée d'un cœur rongé par le désir de vengeance, elle n'est heureuse que quand elle assassine les praticiens ou les créations des arts obscurs en les frappant depuis l'ombre avec une volée de carreaux d'argent."
136,Veigar,Unknown,"RÔLE
MAGE","RÉGION
BANDLE","Enthousiaste sorcier yordle, Veigar s'est livré à des pouvoirs que peu d'autres osent approcher. Citoyen de Bandle à l'esprit libre, il voulait en apprendre plus sur la magie céleste pratiquée par les mortels, mais sa curiosité naturelle fut dévoyée par son emprisonnement dans le Bastion immortel. Créature têtue désormais en possession de la fureur noire des étoiles, Veigar est souvent sous-estimé. Bien qu'il se considère lui-même comme profondément maléfique, certains s'interrogent sur ses motivations les plus profondes…"
137,Vel'Koz,Unknown,"RÔLE
MAGE","RÉGION
LE NÉANT","On ne sait pas trop si Vel'Koz fut le premier Néantin à émerger à Runeterra, mais il est certain qu'aucun autre n'a jamais égalé la froideur calculatrice de sa cruauté. Alors que ses semblables dévorent ou profanent tout ce qui les entoure, il cherche à étudier le royaume physique et les étranges êtres belliqueux qui l'habitent. Selon lui, c'est ainsi que le Néant trouvera comment exploiter leurs faiblesses. Mais Vel'Koz n'est pas qu'un observateur passif. Il répond à toute menace avec des éruptions mortelles de plasma ou en déchirant le tissu même du monde."
138,Vex,Unknown,"RÔLE
MAGE","RÉGION
ÎLES OBSCURES","Au cœur des terribles Îles obscures et de leur brume spectrale, une yordle solitaire se complaît dans son malheur. Vex se protège de la gaieté, de l'excitation et des gens « normaux » dont le monde extérieur regorge grâce à une dose inépuisable d'apitoiement et à une ombre puissante. Même si l'ambition lui fait défaut, on peut compter sur elle pour ternir le bonheur des autres et éloigner tous ceux qui voudraient l'approcher avec sa morosité magique."
139,Vi,Unknown,"RÔLE
COMBATTANT","RÉGION
PILTOVER","Autrefois criminelle des quartiers louches de Zaun, Vi est une femme sans peur, mais pas sans reproche, au tempérament bouillant, impulsive, qui n'a qu'un respect mesuré pour les représentants de l'autorité. Vi a grandi seule et a développé d'excellents instincts de survie ainsi qu'un sens de l'humour assez caustique. Aujourd'hui, elle travaille avec les gendarmes pour maintenir l'ordre à Piltover et se sert pour cela de puissants gantelets Hextech qui n'ont peur de frapper ni les plus épais murs de briques ni les suspects."
140,Viego,Unknown,"RÔLE
ASSASSIN","RÉGION
ÎLES OBSCURES","Autrefois souverain d'un royaume perdu depuis longtemps, Viego mourut il y a plus de mille ans lorsqu'il tenta de ramener sa femme d'entre les morts. Cela causa la catastrophe magique connue sous le nom de la Ruine. Devenu un puissant spectre torturé par le désir obsessionnel de retrouver sa reine morte depuis des siècles, Viego est désormais le Roi déchu. Il contrôle la Nuit de l'horreur et parcourt Runeterra pour trouver un moyen de ramener sa bien-aimée, détruisant tout sur son passage avec la Brume noire qui se répand inlassablement depuis son cœur brisé et cruel."
141,Viktor,Unknown,"RÔLE
MAGE","RÉGION
ZAUN","Héraut d'un nouvel âge de technologie, Viktor a consacré sa vie aux progrès de l'humanité. Idéaliste cherchant à hisser le peuple de Zaun à de nouveaux sommets de compréhension, il pense que le potentiel de l'humanité ne pourra être réalisé que par le grand pas en avant d'une glorieuse évolution technologique. Doté d'un corps optimisé par l'acier et la science, Viktor poursuit fanatiquement son idéal d'un meilleur avenir."
142,Vladimir,Unknown,"RÔLE
MAGE","RÉGION
NOXUS","Assoiffé de sang humain, Vladimir influe sur la politique de Noxus depuis les premiers jours de l'empire. En plus d'allonger surnaturellement sa vie, sa maîtrise de l'hémomancie lui permet de contrôler les esprits et les corps des autres aussi aisément que les siens. Dans les flamboyants salons de l'aristocratie noxienne, cela lui a permis de créer autour de lui un culte de la personnalité. Cependant, dans les bas-fonds, il saigne littéralement ses ennemis à blanc."
143,Volibear,Unknown,"RÔLE
COMBATTANT","RÉGION
FRELJORD","Pour ceux qui le vénèrent encore, Volibear est l'incarnation de la tempête. Destructeur, sauvage et déterminé, il existait bien avant que les mortels n'arpentent la toundra de Freljord ; désormais, il défend férocement les terres qu'il a créées avec sa famille de demi-dieux. Habité d'une haine profonde envers la civilisation et la faiblesse qu'elle a engendrée, il se bat à coups de crocs et de griffes pour restaurer les traditions d'autrefois, celles du temps où la terre était sauvage et où le sang coulait librement."
144,Warwick,Unknown,"RÔLE
COMBATTANT","RÉGION
ZAUN","Warwick est un monstre qui chasse dans les rues grisâtres de Zaun. Transformé par des expériences horribles, son corps est désormais muni d'un système intriqué de chambres et de pompes qui injecte une rage alchimique dans ses veines. Surgissant des ombres, il traque les criminels qui terrorisent les profondeurs de la ville. Warwick est attiré par le sang, dont l'odeur le rend fou. Si sa proie saigne, elle n'a aucune chance de lui échapper."
145,Wukong,"RACE
VASTAYA","RÔLE
COMBATTANT","RÉGION
IONIA","Wukong est un Vastaya qui utilise sa force, son agilité et son intelligence pour semer la confusion parmi ses adversaires et prendre sur eux l'avantage. Après s'être fait un ami en la personne d'un guerrier nommé Maître Yi, Wukong est devenu le dernier tenant d'un art martial antique connu sous le nom de Wuju. Armé de son bâton enchanté, Wukong veut empêcher Ionia de devenir ruines et décombres."
146,Xayah,"RACE
VASTAYA","RÔLE
TIREUR","RÉGION
IONIA","Précise et meurtrière, Xayah est une révolutionnaire vastaya menant une guerre personnelle dans le but de sauver son peuple. Elle se sert de sa célérité, de sa ruse et de ses plumes tranchantes comme des rasoirs pour terrasser tous ceux qui se dressent sur sa route. Xayah se bat aux côtés de son partenaire et amant, Rakan, pour défendre leur tribu dépérissante et rendre à leur race ce qu'elle considère être sa gloire d'antan."
147,Xerath,Unknown,"RÔLE
MAGE","RÉGION
SHURIMA","Xerath est un mage transfiguré de la Shurima antique, un être d'énergie arcanique habitant les fragments détruits d'un sarcophage magique. Pendant des millénaires, il est resté prisonnier des sables du désert, mais le retour de Shurima l'a libéré de sa prison ancestrale. Devenu ivre de pouvoir, il cherche désormais à reprendre ce qu'il croit lui être dû et à remplacer les civilisations arrivistes qui ont pris possession du monde par une nouvelle, façonnée à son image."
148,Zhao,Unknown,"RÔLE
COMBATTANT","RÉGION
DEMACIA","Xin Zhao est un guerrier résolu qui sert fidèlement la famille royale de Demacia. Naguère condamné à se battre dans les arènes de combat de Noxus, il survécut à d'innombrables rencontres de gladiateurs. Ce n'est que lorsqu'il affronta les armées du roi Jarvan III qu'il décida d'abandonner son ancienne vie pour servir une cause qu'il jugeait plus honorable. Armé de sa lance à trois pointes, Xin Zhao combat désormais pour son royaume, défiant ses ennemis avec audace, quelles que soient ses chances de succès."
149,Yasuo,Unknown,"RÔLE
COMBATTANT","RÉGION
IONIA","L'Ionien Yasuo est un épéiste agile et résolu, capable de déchaîner contre ses ennemis la puissance de l'air. Alors qu'il était encore un jeune homme fier, il fut accusé à tort d'avoir assassiné son maître. Incapable de prouver son innocence, il dut fuir et fut finalement contraint de tuer son frère pour se défendre. Plus tard, l'on découvrit l'identité du véritable meurtrier et le frère de Yasuo revint mystérieusement à la vie ; pourtant, Yasuo ne parvenait toujours pas à faire la paix avec sa conscience. Il parcourt désormais le monde, laissant le vent guider sa lame."
150,Yone,Unknown,"RÔLE
ASSASSIN","RÉGION
IONIA","Au cours de sa vie, Yone fut le demi-frère de Yasuo et un disciple renommé de l'école d'armes de son village. Mais après avoir été tué par son propre frère, il se retrouva hanté par une entité malveillante dans le royaume spirituel. Il dut la tuer avec sa propre épée. Désormais maudit et forcé de porter le masque de l'azakana, Yone chasse inlassablement ces créatures démoniaques afin de comprendre ce qu'il est devenu."
151,Yorick,Unknown,"RÔLE
COMBATTANT","RÉGION
ÎLES OBSCURES","Yorick est le dernier survivant d'un ordre religieux disparu depuis longtemps et son pouvoir sur les morts est à la fois une bénédiction et une malédiction. Prisonnier des Îles obscures, il n'a pour compagnons que les cadavres pourrissants et les esprits hurlants qu'il rassemble. Les actes monstrueux de Yorick trahissent son noble objectif : libérer sa terre natale de la malédiction de la Ruine."
152,Yuumi,Unknown,"RÔLE
SUPPORT","RÉGION
BANDLE","Originaire de Bandle, Yuumi est un familier magique dont la maîtresse, une enchanteresse yordle du nom de Norra, a mystérieusement disparu. Yuumi est désormais la gardienne du Grimoire des Seuils que possédait Norra, un livre permettant de franchir des portails. Partie à la recherche de sa maîtresse, Yuumi s'est fait de nouveaux amis durant son périple, et elle les protège tous avec la même détermination. Même si Grimoire aimerait que Yuumi se concentre davantage sur sa mission, sa comparse aime prendre le temps de faire la sieste et de pêcher des poissons. Malgré cela, elle finit toujours par repartir en quête de sa maîtresse."
153,Zac,Unknown,"RÔLE
TANK","RÉGION
ZAUN","Zac est le produit d'une fuite toxique qui, dégoulinant par une veine techno-chimique, se transforma en bassin dans une profonde caverne du Puisard de Zaun. En dépit de ses humbles origines, Zac a évolué pour passer du stade de dépôt primordial à celui d'être pensant qui se faufile dans les canalisations de la ville. De temps en temps, il émerge pour aider ceux qui ne s'en sortent pas seuls ou pour reconstruire les infrastructures en mauvais état de Zaun."
154,Zed,Unknown,"RÔLE
ASSASSIN","RÉGION
IONIA","L'impitoyable Zed est le maître de l'Ordre de l'ombre, une organisation qu'il a créée dans l'intention de militariser la tradition des arts martiaux d'Ionia et de chasser enfin les envahisseurs noxiens. Pendant la guerre, le désespoir le conduisit à déchaîner la Forme secrète de l'ombre, une magie spirituelle maléfique aussi dangereuse et corruptrice que puissante. Si Zed maîtrise ces techniques interdites, c'est pour détruire tout ce qu'il considère comme une menace contre sa nation ou son ordre."
155,Zeri,Unknown,"RÔLE
TIREUR","RÉGION
ZAUN","Zeri est une jeune femme vive et téméraire originaire des quartiers défavorisés de Zaun. Elle canalise son électricité intérieure afin de la charger dans un fusil conçu spécialement pour elle. Son pouvoir magique est le reflet de ses émotions, et ses étincelles sont aussi fulgurantes que son caractère. Résolument tournée vers les autres, Zeri se sert de son amour pour sa famille et son quartier durant chaque combat. Malgré toute sa bonne volonté, cependant, les événements ne se passent pas toujours comme prévu. Cela dit, Zeri est sûre d'une chose : si vous vous battez pour votre communauté, elle se battra avec vous."
156,Heimerdinger,Unknown,"RÔLE
MAGE","RÉGION
ZAUN","Amoureux des grosses bombes et des mèches courtes, le yordle Ziggs est une force de la nature explosive. Assistant d'un inventeur de Piltover, il finit par se lasser de sa vie routinière et devint l'ami d'une jeune fille imprévisible et portée sur les explosifs, Jinx. Après une folle nuit en ville, Ziggs suivit les conseils de Jinx et s'installa à Zaun, où il se livre désormais à sa passion plus librement, terrorisant les Barons de la chimie comme les simples citoyens dans sa quête éternelle pour faire sauter tout ce qui traverse son champ de vision."
157,Zilean,Unknown,"RÔLE
SUPPORT","RÉGION
RUNETERRA","Autrefois membre du conseil d'Icathia, Zilean est un prodigieux mage élémentaire qui cherche à maîtriser le temps lui-même. Après avoir utilisé ses pouvoirs pour tenter de sauver son peuple du Néant, il dérive à travers le passé, le présent et l'avenir, influant sur l'écoulement du temps autour de lui. Zilean a tout vu, depuis la création mystérieuse de Runeterra jusqu'à sa fin apparemment inévitable, et il recherche le moindre fil du destin capable d'empêcher la destruction de sa terre natale."
158,Zoé,Unknown,"RÔLE
MAGE","RÉGION
TARGON","Incarnation de l'espièglerie, de l'imagination et de l'inconstance, Zoé est une messagère cosmique de Targon, annonciatrice des grands événements qui chamboulent les mondes. Sa simple présence distord les règles mathématiques qui gouvernent dans l'ombre les réalités et, sans pour autant le vouloir, peut même provoquer des cataclysmes. Cela explique peut-être la nonchalance désinvolte avec laquelle Zoé traite ses tâches, préférant consacrer le plus clair de son temps à s'amuser, à jouer des tours aux mortels, bref, à faire tout ce qui lui plaît. Une rencontre avec Zoé peut se révéler joyeuse et porteuse d'optimisme, mais ce n'est souvent qu'une apparence, cachant une vérité extrêmement dangereuse."
159,Zyra,Unknown,"RÔLE
MAGE",RÉGION,"Née au cours d'une ancienne catastrophe magique, Zyra est la colère de la nature incarnée : mélange de plante et d'humain, faisant émerger de nouvelles pousses à chaque pas. Elle considère les nombreux mortels de Valoran comme de simples proies pour sa progéniture végétale, et les éliminer avec ses gerbes d'épines ne lui pose aucun problème. Bien que nul ne connaisse ses vrais objectifs, Zyra erre de par le monde, suivant son instinct qui est de coloniser toujours plus de terres et d'en exterminer toutes les autres formes de vie."
